A++; B++; C++; while A {A--; B++; while C {A++; B++; C--;} while B {B--; C++;}}
A++; B++; C++; while A {A--; C++; while B {A++; B--; C++;} while C {B++; C--;}}
A++; B++; C++; while A {A--; while B {A++; B--; C++;} B++; while C {B++; C--;}}
A++; B++; C++; while A {A--; while B {A++; B--; C++;} C++; while C {B++; C--;}}
A++; B++; C++; while A {A--; while B {A++; B--; C++;} while C {B++; B++; C--;}}
A++; B++; C++; while A {A--; while B {A++; B--; C++;} while C {B++; C--;} B++;}
A++; B++; C++; while A {A--; while B {A++; B--; C++;} while C {B++; C--;} C++;}
A++; B++; C++; while A {A--; while B {A++; B--; C++; C++;} while C {B++; C--;}}
A++; B++; C++; while A {A--; while B {B--; C++;} B++; while C {A++; B++; C--;}}
A++; B++; C++; while A {A--; while B {B--; C++;} while C {A++; B++; B++; C--;}}
A++; B++; C++; while A {A--; while B {B--; C++;} while C {A++; B++; C--;} B++;}
A++; B++; C++; while A {A--; while B {B--; C++;} while C {A++; B++; C--;} C++;}
A++; B++; C++; while A {A--; while B {B--; C++; C++;} while C {A++; B++; C--;}}
A++; B++; C++; while A {A--; while C {A++; B++; B++; C--;} while B {B--; C++;}}
A++; B++; C++; while A {A--; while C {A++; B++; C--;} B++; while B {B--; C++;}}
A++; B++; C++; while A {A--; while C {A++; B++; C--;} C++; while B {B--; C++;}}
A++; B++; C++; while A {A--; while C {A++; B++; C--;} while B {B--; C++;} B++;}
A++; B++; C++; while A {A--; while C {A++; B++; C--;} while B {B--; C++;} C++;}
A++; B++; C++; while A {A--; while C {A++; B++; C--;} while B {B--; C++; C++;}}
A++; B++; C++; while A {A--; while C {B++; B++; C--;} while B {A++; B--; C++;}}
A++; B++; C++; while A {A--; while C {B++; C--;} C++; while B {A++; B--; C++;}}
A++; B++; C++; while A {A--; while C {B++; C--;} while B {A++; B--; C++;} B++;}
A++; B++; C++; while A {A--; while C {B++; C--;} while B {A++; B--; C++;} C++;}
A++; B++; C++; while A {A--; while C {B++; C--;} while B {A++; B--; C++; C++;}}
A++; B++; C++; while A {A++; B++; while C {A--; B--; C--;} while B {B--; C++;}}
A++; B++; C++; while A {A++; B++; while C {B--; C--;} while B {A--; B--; C++;}}
A++; B++; C++; while A {A++; C++; while B {A--; B--; C--;} while C {B++; C--;}}
A++; B++; C++; while A {A++; C++; while B {B--; C--;} while C {A--; B++; C--;}}
A++; B++; C++; while A {A++; while B {A--; B--; C++;} B++; while C {B--; C--;}}
A++; B++; C++; while A {A++; while C {A--; B++; C--;} C++; while B {B--; C--;}}
A++; B++; C++; while A {B++; while C {A++; B++; C--;} A--; while B {B--; C++;}}
A++; B++; C++; while A {C++; while B {A++; B--; C++;} A--; while C {B++; C--;}}
A++; B++; C++; while A {while B {A--; B--; C++;} B++; while C {A++; B++; C--;}}
A++; B++; C++; while A {while B {A--; B--; C++;} while C {A++; B++; B++; C--;}}
A++; B++; C++; while A {while B {A--; B--; C++;} while C {A++; B++; C--;} B++;}
A++; B++; C++; while A {while B {A--; B--; C++;} while C {A++; B++; C--;} C++;}
A++; B++; C++; while A {while B {A--; B--; C++; C++;} while C {A++; B++; C--;}}
A++; B++; C++; while A {while B {A++; B--; C++;} A--; B++; while C {B++; C--;}}
A++; B++; C++; while A {while B {A++; B--; C++;} A--; C++; while C {B++; C--;}}
A++; B++; C++; while A {while B {A++; B--; C++;} A--; while C {B++; B++; C--;}}
A++; B++; C++; while A {while B {A++; B--; C++;} A--; while C {B++; C--;} B++;}
A++; B++; C++; while A {while B {A++; B--; C++;} A--; while C {B++; C--;} C++;}
A++; B++; C++; while A {while B {A++; B--; C++; C++;} A--; while C {B++; C--;}}
A++; B++; C++; while A {while B {B--; C++;} B++; while C {A++; B++; C--;} A--;}
A++; B++; C++; while A {while B {B--; C++;} while C {A++; B++; B++; C--;} A--;}
A++; B++; C++; while A {while B {B--; C++;} while C {A++; B++; C--;} A--; B++;}
A++; B++; C++; while A {while B {B--; C++;} while C {A++; B++; C--;} A--; C++;}
A++; B++; C++; while A {while B {B--; C++; C++;} while C {A++; B++; C--;} A--;}
A++; B++; C++; while A {while C {A--; B++; B++; C--;} while B {A++; B--; C++;}}
A++; B++; C++; while A {while C {A--; B++; C--;} C++; while B {A++; B--; C++;}}
A++; B++; C++; while A {while C {A--; B++; C--;} while B {A++; B--; C++;} B++;}
A++; B++; C++; while A {while C {A--; B++; C--;} while B {A++; B--; C++;} C++;}
A++; B++; C++; while A {while C {A--; B++; C--;} while B {A++; B--; C++; C++;}}
A++; B++; C++; while A {while C {A++; B++; B++; C--;} A--; while B {B--; C++;}}
A++; B++; C++; while A {while C {A++; B++; C--;} A--; B++; while B {B--; C++;}}
A++; B++; C++; while A {while C {A++; B++; C--;} A--; C++; while B {B--; C++;}}
A++; B++; C++; while A {while C {A++; B++; C--;} A--; while B {B--; C++;} B++;}
A++; B++; C++; while A {while C {A++; B++; C--;} A--; while B {B--; C++;} C++;}
A++; B++; C++; while A {while C {A++; B++; C--;} A--; while B {B--; C++; C++;}}
A++; B++; C++; while A {while C {B++; B++; C--;} while B {A++; B--; C++;} A--;}
A++; B++; C++; while A {while C {B++; C--;} C++; while B {A++; B--; C++;} A--;}
A++; B++; C++; while A {while C {B++; C--;} while B {A++; B--; C++;} A--; B++;}
A++; B++; C++; while A {while C {B++; C--;} while B {A++; B--; C++;} A--; C++;}
A++; B++; C++; while A {while C {B++; C--;} while B {A++; B--; C++; C++;} A--;}
